model,price,year,mileage,location,tax,seller_type
HONDA ALN VARIO 160 CBS,"Rp23,000,000",2023,"7,500 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,000,000",2023,"7,500 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"15,000 km",Kab. Sidoarjo,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"15,000 km",Kab. Sidoarjo,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"30,000 km",Kab. Langkat,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"7,500 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,500,000",2022,"15,000 km",Kab. Langkat,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,700,000",2019,"30,000 km",Kab. Langkat,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"30,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp15,400,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,900,000",2019,"15,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,700,000",2019,"30,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,600,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,200,000",2020,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,500,000",2020,"15,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2023,"7,500 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"2,500 km",Bandung Barat,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,200,000",2019,"15,000 km",Bandung Barat,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,900,000",2020,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp18,500,000",2018,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,900,000",2020,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"30,000 km",Kota Pekanbaru,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp16,600,000",2016,"30,000 km",Kota Pekanbaru,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp23,800,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp23,800,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA NEW VARIO CW FI,"Rp13,100,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp21,500,000",2023,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,000,000",2017,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp15,400,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp20,000,000",2020,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,600,000",2021,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,500,000",2021,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,000,000",2019,"30,000 km",Kota Kediri,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp16,200,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,500,000",2020,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp18,500,000",2019,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp14,800,000",2016,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,500,000",2018,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp17,500,000",2017,"30,000 km",Kota Medan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,000,000",2016,"30,000 km",Kab. Sidoarjo,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp16,200,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2022,"15,000 km",Kota Malang,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp20,200,000",2020,"15,000 km",Kota Malang,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,200,000",2021,"15,000 km",Kota Malang,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"15,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,800,000",2019,"15,000 km",Bandung Barat,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp15,800,000",2017,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"7,500 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp18,500,000",2019,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,600,000",2021,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kab. Deli Serdang,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,100,000",2023,"7,500 km",Kota Medan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2019,"30,000 km",Kab. Gresik,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp14,700,000",2016,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,500,000",2021,"7,500 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp25,200,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp15,800,000",2018,"30,000 km",Kota Depok,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"2,500 km",Kota Cimahi,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"7,500 km",Kota Cimahi,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,800,000",2019,"15,000 km",Kota Cimahi,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"15,000 km",Kota Cimahi,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"30,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,000,000",2016,"30,000 km",Kota Pekanbaru,hidup,dealer
HONDA NEW VARIO CW FI,"Rp11,300,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,900,000",2022,"7,500 km",Kota Jakarta Selatan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp14,000,000",2017,"15,000 km",Kota Jakarta Selatan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,600,000",2020,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,900,000",2020,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,000,000",2016,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp15,800,000",2017,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"7,500 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"7,500 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,200,000",2017,"30,000 km",Kota Jakarta Selatan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,200,000",2020,"30,000 km",Kab. Gresik,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,800,000",2020,"30,000 km",Kota Medan,hidup,dealer
HONDA NEW VARIO CW FI,"Rp12,200,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp14,200,000",2016,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"7,500 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"15,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,900,000",2020,"30,000 km",Kab. Gresik,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"30,000 km",Kota Pekanbaru,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,300,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,800,000",2017,"30,000 km",Kota Medan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2022,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,900,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,000,000",2020,"30,000 km",,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,800,000",2018,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,000,000",2020,"15,000 km",Kota Jakarta Selatan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,300,000",2021,"15,000 km",Kota Jakarta Selatan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,400,000",2020,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,200,000",2022,"7,500 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2022,"7,500 km",Kab. Gresik,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,000,000",2016,"30,000 km",Kab. Gresik,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,900,000",2019,"15,000 km",Kab. Gresik,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2021,"15,000 km",Kab. Gresik,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,200,000",2022,"15,000 km",Kab. Gresik,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,200,000",2020,"30,000 km",Kab. Gresik,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,500,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,500,000",2019,"15,000 km",Kota Jakarta Selatan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,800,000",2023,"7,500 km",Kota Jakarta Selatan,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,500,000",2020,"15,000 km",Kab. Cianjur,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp25,200,000",2023,"7,500 km",Kab. Cianjur,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,900,000",2020,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,600,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,000,000",2016,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,200,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp15,400,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp18,300,000",2020,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp17,500,000",2017,"30,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp21,300,000",2022,"7,500 km",Kota Bogor,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp23,100,000",2022,"7,500 km",Kota Bogor,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp16,500,000",2019,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,200,000",2022,"7,500 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp27,300,000",2023,"7,500 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"30,000 km",Kota Pekanbaru,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"30,000 km",Kota Pekanbaru,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp16,800,000",2018,"30,000 km",Kota Depok,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp26,200,000",2023,"2,500 km",Kota Bogor,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2023,"2,500 km",Kota Bogor,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp18,900,000",2019,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp20,800,000",2022,"15,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,500,000",2018,"30,000 km",Kab. Sidoarjo,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,200,000",2022,"15,000 km",Kab. Sidoarjo,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,100,000",2021,"30,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,500,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,500,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,500,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp25,700,000",2023,500 km,Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp20,800,000",2022,"15,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp18,500,000",2019,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp14,500,000",2017,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp18,900,000",2019,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp25,200,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp18,100,000",2017,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp18,100,000",2017,"30,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,300,000",2023,"7,500 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,000,000",2022,"7,500 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,500,000",2020,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,700,000",2017,"30,000 km",Kab. Ciamis,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp15,100,000",2016,"15,000 km",Kab. Ciamis,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,700,000",2017,"2,500 km",Kab. Ciamis,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,600,000",2018,"30,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,900,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp18,600,000",2018,"30,000 km",Kota Medan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp26,300,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,400,000",2017,"30,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp14,700,000",2016,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,400,000",2017,"30,000 km",Kota Pekanbaru,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp16,500,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,000,000",2016,"7,500 km",Kab. Gresik,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,600,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,100,000",2018,"15,000 km",Kab.sleman,hidup,dealer
HONDA N VARIO CBS FI ADVT,"Rp15,800,000",2019,"15,000 km",Kab.sleman,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,900,000",2021,"7,500 km",Kab.sleman,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,900,000",2020,"15,000 km",Kab.sleman,hidup,dealer
HONDA NEW VARIO TECHNO CBS,"Rp16,700,000",2019,"15,000 km",Kab.sleman,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,900,000",2020,"15,000 km",Kab.sleman,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"30,000 km",Kota Medan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Kab. Sidoarjo,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,200,000",2022,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp26,200,000",2023,"7,500 km",Kota Bogor,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,800,000",2023,"2,500 km",Kota Bogor,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,500,000",2020,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp16,500,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,300,000",2022,"7,500 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,000,000",2023,"2,500 km",Kota Depok,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"30,000 km",Kota Medan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,700,000",2019,"30,000 km",Kota Medan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,800,000",2020,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,400,000",2017,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,000,000",2018,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp17,500,000",2017,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2021,"15,000 km",Kota Surabaya,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,800,000",2023,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2021,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,200,000",2020,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp15,400,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA NEW VARIO TECHNO CBS,"Rp12,400,000",2016,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp16,300,000",2016,"7,500 km",Kota Bogor,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp16,300,000",2016,"7,500 km",Kota Bogor,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,900,000",2020,"30,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,400,000",2017,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,100,000",2016,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Kab. Sidoarjo,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,100,000",2021,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,700,000",2019,"30,000 km",Kab. Deli Serdang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"15,000 km",Kab. Sidoarjo,hidup,dealer
